"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"기아 K5 3세대(19년~현재 가솔린 1.6 터보 프레스티지",3682,224루5284,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240152/AT1763970725419u7_M.jpg,52690,1990,"기아 K5 3세대(19년~현재 가솔린 1.6 터보 프레스티지",흰색,2022,"오토허브 경매장",,BB
"벤츠 E-클래스 W213(16년~현재) E200 아방가르드",3683,326마6584,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240189/AT176397343409460_M.jpg,203185,1350,"벤츠 E-클래스 W213(16년~현재) E200 아방가르드",흰색,2018,"오토허브 경매장",,BB
"기아 쏘렌토 4세대 (20년~현재) 디젤 2200cc (2.2 2WD) 시그니쳐",3684,149호2467,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240241/AT176397090569706_M.jpg,82856,2630,"기아 쏘렌토 4세대 (20년~현재) 디젤 2200cc (2.2 2WD) 시그니쳐",흰색,2021,"오토허브 경매장",,CC
"기아 봉고3 1.2톤 카고(화물)트럭 표준캡",3685,92마8151,수동,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240304/AT1763973268492id_M.jpg,115099,550,"기아 봉고3 1.2톤 카고(화물)트럭 표준캡",기타,2013,"오토허브 경매장",,AD
"현대 더 뉴 그랜져 IG 가솔린2500cc 익스클루시브",3686,267주2206,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240290/AT1763971829131o2_M.jpg,80240,2300,"현대 더 뉴 그랜져 IG 가솔린2500cc 익스클루시브",기타,2022,"오토허브 경매장",,AB
"현대 쏘나타(DN8) (19년~현재) 가솔린 2.0 프리미엄 패밀리",3687,183노6018,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240378/AT1764031392759o4_M.jpg,159765,1450,"현대 쏘나타(DN8) (19년~현재) 가솔린 2.0 프리미엄 패밀리",흰색,2020,"오토허브 경매장",,BC
"쉐보레(한국GM) 올 뉴 말리부(16년~현재) 1.5 터보 LTZ 프리미엄 세이프티",3688,27고4124,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240292/AT17639720698574e_M.jpg,219805,340,"쉐보레(한국GM) 올 뉴 말리부(16년~현재) 1.5 터보 LTZ 프리미엄 세이프티",기타,2017,"오토허브 경매장",,BC
"현대 더 뉴 아반떼 (13년~15년) 1.6 VGT 텐밀리언 리미티드",3689,04주5120,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240347/AT1764031583795v5_M.jpg,156910,550,"현대 더 뉴 아반떼 (13년~15년) 1.6 VGT 텐밀리언 리미티드",흰색,2015,"오토허브 경매장",,BB
"기아 쏘렌토 4세대 (20년~현재) 디젤 2200cc (2.2 2WD) 트렌디",3690,160호2244,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511250020/AT176403551104794_M.jpg,317391,1300,"기아 쏘렌토 4세대 (20년~현재) 디젤 2200cc (2.2 2WD) 트렌디",기타,2021,"오토허브 경매장",,BB
"폭스바겐 CC 2.0 TDI",3691,11누9275,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240368/AT17640312981933x_M.jpg,329784,150,"폭스바겐 CC 2.0 TDI",흰색,2009,"오토허브 경매장",,BC
"현대 쏘나타 디 엣지(DN8)(23년~현재) 가솔린 2000cc 익스클루시브",3692,244너7674,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240295/AT1763972476513r4_M.jpg,29958,2750,"현대 쏘나타 디 엣지(DN8)(23년~현재) 가솔린 2000cc 익스클루시브",기타,2024,"오토허브 경매장",,BA
"쉐보레(한국GM) 올 뉴 말리부(16년~현재) 2.0 터보 LTZ 프리미엄",3654,168어8125,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240168/AT176397025911607_M.jpg,142838,430,"쉐보레(한국GM) 올 뉴 말리부(16년~현재) 2.0 터보 LTZ 프리미엄",기타,2017,"오토허브 경매장",,CC
"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 모던",3655,149호2453,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240188/AT176396539947091_M.jpg,97755,1330,"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 모던",기타,2021,"오토허브 경매장",,BB
"제네시스 G80 (RG3)(20년~현재) 디젤 4WD 디젤 2.2 AWD",3656,149하5041,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240011/AT17639691302749j_M.jpg,307086,1670,"제네시스 G80 (RG3)(20년~현재) 디젤 4WD 디젤 2.2 AWD",기타,2021,"오토허브 경매장",,BB
"현대 더 뉴 그랜져 IG 가솔린2500cc 프리미엄 초이스",3657,319더3074,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240147/AT1763971543002j5_M.jpg,109642,1810,"현대 더 뉴 그랜져 IG 가솔린2500cc 프리미엄 초이스",기타,2020,"오토허브 경매장",,BC
"쉐보레(한국GM) 더 뉴 트랙스 1.6 디젤 프리미어",3658,193서4226,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240163/AT176396332807979_M.jpg,192374,670,"쉐보레(한국GM) 더 뉴 트랙스 1.6 디젤 프리미어",흰색,2020,"오토허브 경매장",,BB
"르노삼성 조에 20년 ~ 전기차 인텐스 에코",3659,23하5699,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240018/AT17639651435389x_M.jpg,136926,800,"르노삼성 조에 20년 ~ 전기차 인텐스 에코",흰색,2021,"오토허브 경매장",,DB
"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 모던",3660,244무1787,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240238/AT17639687590566m_M.jpg,129695,1050,"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 모던",흰색,2021,"오토허브 경매장",,AC
"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 모던",3661,166너3718,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240190/AT1763965498192yt_M.jpg,106771,1260,"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 모던",기타,2021,"오토허브 경매장",,AB
"아우디 NEW A5 35 TDI 콰트로 다이나믹 스포츠백 8TA (14년~현재)",3662,28고8715,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240237/AT1763968830223j1_M.jpg,153339,850,"아우디 NEW A5 35 TDI 콰트로 다이나믹 스포츠백 8TA (14년~현재)",검정,2015,"오토허브 경매장",,BB
"기아 K5 (10년~13년) 2.4 GDI 프레스티지",3663,53머5101,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240132/AT176396557919751_M.jpg,162290,410,"기아 K5 (10년~13년) 2.4 GDI 프레스티지",흰색,2011,"오토허브 경매장",,BB
