"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"현대 현대 제네시스 G80 THE ALL NEW GENESIS G80 (G) 2.5T",0644,165하8219,비크블랙,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250926005628.JPG,85882,3190,"THE ALL NEW GENESIS G80 (G) 2.5T",85882,2022,"롯데 경매장",KMTGB41CBNU116836,"A / D"
"현대 올 뉴 아반떼 ALL NEW AVANTE (G) 1.6 MODERN",0645,193허4211,"아마존 그레이 메탈릭",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250925002528.JPG,90238,1410,"ALL NEW AVANTE (G) 1.6 MODERN",90238,2023,"롯데 경매장",KMHLM41EEPU385395,"A / C"
"현대 현대 제네시스 G80 THE ALL NEW GENESIS G80 (G) 3.5T",0646,193허8317,비크블랙,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250926005428.JPG,56365,3270,"THE ALL NEW GENESIS G80 (G) 3.5T",56365,2022,"롯데 경매장",KMTGC41DBNU162021,"A / D"
"기아 쏘렌토 MQ4 SORENTO MQ4 (H) 1.6 터보 프레스티지 5인승 4WD",0647,192호1024,플라티늄그라파이트,가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250924004928.JPG,89247,3040,"SORENTO MQ4 (H) 1.6 터보 프레스티지 5인승 4WD",89247,2022,"롯데 경매장",KNARL81GDNA106054,"A / D"
"현대 현대 제네시스 G80 THE ALL NEW GENESIS G80 (G) 3.5T",0648,160하6777,그레이스풀그레이,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250925002728.JPG,97498,2810,"THE ALL NEW GENESIS G80 (G) 3.5T",97498,2021,"롯데 경매장",KMTGC41DBMU087462,"A / C"
"기아 카니발 KA4 CARNIVAL KA4 (D) 2.2 프레스티지 9인승",0649,155하8240,아스트라블루,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250924001828.JPG,45744,2300,"CARNIVAL KA4 (D) 2.2 프레스티지 9인승",45744,2022,"롯데 경매장",KNANB81BBNS138288,"F / F"
"기아 레이 THE NEW RAY (G) 1.0 VAN 스탠다드",0621,165하3799,"아스트로 그레이",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250924002728.JPG,60972,640,"THE NEW RAY (G) 1.0 VAN 스탠다드",60972,2022,"롯데 경매장",KNACF911BNT284031,"B / F"
"기아 그랜드 카니발 GRAND CARNIVAL (D) 2.2 11인승 GLX 프리미엄",0622,76버9022,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/SA20250924001528.JPG,160280,260,"GRAND CARNIVAL (D) 2.2 11인승 GLX 프리미엄",160280,2012,"롯데 경매장",KNHMD376BCS491685,"A / F"
"기아 K8 K8 (H) 1.6 노블레스",0623,165호5585,오로라블랙펄,가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250724007928.JPG,48049,2460,"K8 (H) 1.6 노블레스",48049,2022,"롯데 경매장",KNAM2411BNA013685,"A / F"
"기아 올 뉴 모닝 ALL NEW MORNING (G) 1.0 VAN 고급형",0624,128허3084,클리어화이트,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250728013828.JPG,71896,370,"ALL NEW MORNING (G) 1.0 VAN 고급형",71896,2020,"롯데 경매장",KNAB1911BLT581569,"A / F"
"대우 스파크 THE NEW SPARK (G) 1.0 승용밴",0625,128하8863,퓨어화이트,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250722002228.JPG,111417,320,"THE NEW SPARK (G) 1.0 승용밴",111417,2020,"롯데 경매장",KLYDC487DLC014751,"A / F"
"삼성 QM6 NEW QM6 (G) 2.0 2WD SE",0626,160허7527,어반그레이,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250925002428.JPG,89330,950,"NEW QM6 (G) 2.0 2WD SE",89330,2021,"롯데 경매장",KNME5C2B2MP081474,"A / C"
"기아 NIRO NIRO EV (E) 프레스티지_22MY",0627,41하0935,"스노우화이트펄 (옵션추가)",전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250904003828.JPG,65098,1670,"NIRO EV (E) 프레스티지_22MY",65098,2022,"롯데 경매장",KNACB81GFNA126568,"A / C"
"기아 K8 K8 (H) 1.6 노블레스",0628,165수1783,인터스텔라그레이,가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202505/KS20250520010328.JPG,81589,2390,"K8 (H) 1.6 노블레스",81589,2023,"롯데 경매장",KNAM2411BPA046013,"B / D"
