"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"기아 K5 3세대(19년~현재 가솔린 2.0 노블레스",3629,194하3343,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150123/AT1757921152350f6_M.jpg,51663,2190,"기아 K5 3세대(19년~현재 가솔린 2.0 노블레스",검정,2022,"오토허브 경매장",,AB
"기아 모하비 더 마스터(19년~현재) 디젤 3.0 4WD 7인승 플래티넘",3631,105모3200,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150034/AT175792154319118_M.jpg,145162,2590,"기아 모하비 더 마스터(19년~현재) 디젤 3.0 4WD 7인승 플래티넘",기타,2023,"오토허브 경매장",,BB
"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 스마트",3633,156호3948,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150114/AT175792129594148_M.jpg,69814,1380,"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 스마트",기타,2021,"오토허브 경매장",,AB
"기아 더 뉴 K5 2세대(18년~현재) 가솔린 2000cc 노블레스",3635,56고5272,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509120145/AT17579229566758b_M.jpg,43502,1420,"기아 더 뉴 K5 2세대(18년~현재) 가솔린 2000cc 노블레스",기타,2019,"오토허브 경매장",,BB
"BMW NEW 5시리즈 520d F10",3637,45저5617,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150150/AT1757922740896j3_M.jpg,217089,360,"BMW NEW 5시리즈 520d F10",검정,2013,"오토허브 경매장",,BB
"현대 더뉴 싼타페(20년~현재) 가솔린 2.5T 4WD 프레스티지",3639,130모4830,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150116/AT175792251023800_M.jpg,30393,2920,"현대 더뉴 싼타페(20년~현재) 가솔린 2.5T 4WD 프레스티지",검정,2023,"오토허브 경매장",,BB
"제네시스 G90 (RS4)(21년~현재) 가솔린 2WD 가솔린 3.5 터보 2WD",3641,151로4308,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150012/AT17579223259555h_M.jpg,55223,5440,"제네시스 G90 (RS4)(21년~현재) 가솔린 2WD 가솔린 3.5 터보 2WD",기타,2022,"오토허브 경매장",,BB
"벤츠 NEW E-클래스 E300 엘레강스 W212 (09년~17년)",3564,29머6580,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150296/AT1757933741513r0_M.jpg,194785,520,"벤츠 NEW E-클래스 E300 엘레강스 W212 (09년~17년)",검정,2011,"오토허브 경매장",,BB
"쉐보레(한국GM) 더 뉴 트랙스 1.4 가솔린 LTZ",3566,41주0112,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150230/AT175793392914246_M.jpg,161840,-,"쉐보레(한국GM) 더 뉴 트랙스 1.4 가솔린 LTZ",기타,2017,"오토허브 경매장",,BC
"기아 K5 2세대 (15년~18년) 2.0 SX 스타일 에디션",3567,214부5362,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150218/AT17579341988167m_M.jpg,157257,900,"기아 K5 2세대 (15년~18년) 2.0 SX 스타일 에디션",흰색,2018,"오토허브 경매장",,BB
"현대 포터2 1톤 저상형 내장탑차 슈퍼캡 초장축",3568,96조0914,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150253/AT175793407260510_M.jpg,124765,800,"현대 포터2 1톤 저상형 내장탑차 슈퍼캡 초장축",흰색,2020,"오토허브 경매장",,BB
"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 노블레스",3569,276로4963,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509110021/AT175793428414770_M.jpg,101606,2290,"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 노블레스",흰색,2022,"오토허브 경매장",,BB
"기아 K5 하이브리드 3세대(19년~) 가솔린+전기 2000CC 트렌디",3570,374나9324,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150301/AT1757934364998la_M.jpg,48719,1400,"기아 K5 하이브리드 3세대(19년~) 가솔린+전기 2000CC 트렌디",기타,2020,"오토허브 경매장",,CB
"벤츠 뉴 SLK-클래스(04~16년) 280 R171 (04년~11년)",3617,29머4828,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150183/AT175791988064697_M.jpg,92785,190,"벤츠 뉴 SLK-클래스(04~16년) 280 R171 (04년~11년)",흰색,2006,"오토허브 경매장",,CC
"기아 모하비 더 마스터(19년~현재) 디젤 3.0 4WD 6인승 마스터즈",3619,243노5107,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150033/AT1757920083033lk_M.jpg,74373,4290,"기아 모하비 더 마스터(19년~현재) 디젤 3.0 4WD 6인승 마스터즈",기타,2022,"오토허브 경매장",,AB
"현대 그랜져 IG (16년~현재) 3.0 LPI 렌터카 모던",3621,280러1473,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150020/AT1757920272014n0_M.jpg,122968,1290,"현대 그랜져 IG (16년~현재) 3.0 LPI 렌터카 모던",기타,2019,"오토허브 경매장",,AC
"기아 카니발 4세대(20년~현재) 가솔린 3500cc 가솔린 9인승 프레스티지",3623,169하1054,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509120184/AT175792056974907_M.jpg,57069,2400,"기아 카니발 4세대(20년~현재) 가솔린 3500cc 가솔린 9인승 프레스티지",흰색,2023,"오토허브 경매장",,BC
"기아 K5 3세대(19년~현재 가솔린 2.0 프레스티지",3625,195호7670,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150119/AT175792083816518_M.jpg,57863,2150,"기아 K5 3세대(19년~현재 가솔린 2.0 프레스티지",검정,2023,"오토허브 경매장",,AB
"BMW 3시리즈 GT 디젤 2WD GT 320d 럭셔리",3627,291가8911,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150191/AT1757921237076t0_M.jpg,138209,1890,"BMW 3시리즈 GT 디젤 2WD GT 320d 럭셔리",기타,2020,"오토허브 경매장",,AB
"쌍용 티볼리 (15년~현재) 디젤 2WD LX",3555,321러2706,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150273/AT1757932839996jd_M.jpg,210422,260,"쌍용 티볼리 (15년~현재) 디젤 2WD LX",흰색,2016,"오토허브 경매장",,BB
"현대 YF 쏘나타 (09년~12년) Y20 LPG 럭셔리",3556,12구9624,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150245/AT1757932775402z7_M.jpg,218632,90,"현대 YF 쏘나타 (09년~12년) Y20 LPG 럭셔리",기타,2011,"오토허브 경매장",,CC
"기아 더 뉴 스포티지R (13년~15년) 디젤 4WD 트렌디",3557,26서5031,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150287/AT17579330250839j_M.jpg,112114,500,"기아 더 뉴 스포티지R (13년~15년) 디젤 4WD 트렌디",흰색,2014,"오토허브 경매장",,BC
"테슬라 모델 3 전기 롱 레인지",3558,54다3967,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150005/AT1757934239217sw_M.jpg,60847,3290,"테슬라 모델 3 전기 롱 레인지",빨강,2022,"오토허브 경매장",,BC
"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 노블레스",3559,269모5328,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150285/AT1757933080962s9_M.jpg,138557,2400,"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 노블레스",흰색,2023,"오토허브 경매장",,BB
"기아 EV6 롱레인지 에어",3560,14더7491,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150004/AT1757935131465s5_M.jpg,70863,2450,"기아 EV6 롱레인지 에어",흰색,2023,"오토허브 경매장",,BC
"볼보 XC90 2세대 가솔린 + 전기 4WD T8 R-디자인",3561,338고7966,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150288/AT17579331915513p_M.jpg,63779,5350,"볼보 XC90 2세대 가솔린 + 전기 4WD T8 R-디자인",검정,2021,"오토허브 경매장",,AB
"르노삼성 더 뉴 SM6(20년~현재) 가솔린 1300cc 1.3 TCe RE",3563,260부5931,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150275/AT17579338976114f_M.jpg,116630,1160,"르노삼성 더 뉴 SM6(20년~현재) 가솔린 1300cc 1.3 TCe RE",검정,2021,"오토허브 경매장",,AB
"현대 더뉴 싼타페(20년~현재) 디젤 2.2 2WD 프리미엄",3533,149호1930,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150198/AT17579209692400h_M.jpg,134304,1750,"현대 더뉴 싼타페(20년~현재) 디젤 2.2 2WD 프리미엄",기타,2021,"오토허브 경매장",,BC
"기아 카니발 4세대(20년~현재) 가솔린 3500cc 가솔린 9인승 프레스티지",3535,160호5648,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150212/AT1757923036113t5_M.jpg,83980,-,"기아 카니발 4세대(20년~현재) 가솔린 3500cc 가솔린 9인승 프레스티지",흰색,2023,"오토허브 경매장",,BB
"현대 더 뉴 그랜져 IG 가솔린2500cc 프리미엄 초이스",3536,398저6020,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509160053/AT175799762294736_M.jpg,167763,1390,"현대 더 뉴 그랜져 IG 가솔린2500cc 프리미엄 초이스",검정,2020,"오토허브 경매장",,BB
"현대 포터2 1톤 카고(화물)트럭 CRDi 슈퍼캡 초장축 프리미엄",3537,803모5275,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150196/AT1757923133084fw_M.jpg,76098,1720,"현대 포터2 1톤 카고(화물)트럭 CRDi 슈퍼캡 초장축 프리미엄",흰색,2023,"오토허브 경매장",,BC
"현대 포터2 1톤 저상형 내장탑차 슈퍼캡 초장축",3538,86노0655,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150171/AT17579247033922m_M.jpg,105282,840,"현대 포터2 1톤 저상형 내장탑차 슈퍼캡 초장축",흰색,2020,"오토허브 경매장",,BB
"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 법인전용",3539,190나6283,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509160055/AT175799931958113_M.jpg,91848,1400,"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 법인전용",기타,2021,"오토허브 경매장",,AB
"기아 봉고3 1톤 카고(화물)트럭 표준캡 CRDI",3540,89머2898,수동,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509160057/AT175799891709328_M.jpg,296884,190,"기아 봉고3 1톤 카고(화물)트럭 표준캡 CRDI",흰색,2013,"오토허브 경매장",,BB
"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 프레스티지",3541,149하8815,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150082/AT1757923344192o2_M.jpg,168236,1790,"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 프레스티지",흰색,2021,"오토허브 경매장",,BC
"기아 올 뉴 K3(18년~현재) 가솔린 1600cc 프레스티지",3542,149호1440,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150127/AT1757925346745o9_M.jpg,76349,1190,"기아 올 뉴 K3(18년~현재) 가솔린 1600cc 프레스티지",흰색,2021,"오토허브 경매장",,BB
"현대 포터2 1톤 저상형 내장탑차 슈퍼캡 초장축",3543,96조0910,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150174/AT17579255812536x_M.jpg,72796,990,"현대 포터2 1톤 저상형 내장탑차 슈퍼캡 초장축",흰색,2020,"오토허브 경매장",,AB
"르노삼성 뉴 SM5(신형) (09년~12년) SE 블랙",3544,63소6153,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150177/AT175792570196182_M.jpg,110910,-,"르노삼성 뉴 SM5(신형) (09년~12년) SE 블랙",검정,2011,"오토허브 경매장",,BC
"현대 스타리아(21년~현재) 디젤 2WD 카고 5인승(스마트)",3545,808구5997,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150087/AT175792572710548_M.jpg,159823,1660,"현대 스타리아(21년~현재) 디젤 2WD 카고 5인승(스마트)",기타,2022,"오토허브 경매장",,AB
"기아 K5 3세대(19년~현재 가솔린 2.0 노블레스",3546,194하3160,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150124/AT17579260171952j_M.jpg,59316,2150,"기아 K5 3세대(19년~현재 가솔린 2.0 노블레스",검정,2022,"오토허브 경매장",,AB
"기아 K5 (10년~13년) 2.0 프레스티지  기본형",3547,66더9900,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150235/AT175792624232764_M.jpg,185777,470,"기아 K5 (10년~13년) 2.0 프레스티지  기본형",흰색,2011,"오토허브 경매장",,BC
"BMW 4시리즈 420d 럭셔리 쿠페 F32 (14년~현재)",3548,239고5577,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150236/AT17579261921630w_M.jpg,193268,500,"BMW 4시리즈 420d 럭셔리 쿠페 F32 (14년~현재)",기타,2014,"오토허브 경매장",,BC
"현대 그랜저 하이브리드 (13년~현재) 프리미엄",3549,46노3951,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150207/AT1757926267565rb_M.jpg,100572,750,"현대 그랜저 하이브리드 (13년~현재) 프리미엄",검정,2014,"오토허브 경매장",,BC
"현대 그랜드 스타렉스 (07년~현재) 2WD 3인승 밴 스마트",3550,85고5379,수동,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150240/AT1757930207611jv_M.jpg,178736,550,"현대 그랜드 스타렉스 (07년~현재) 2WD 3인승 밴 스마트",기타,2017,"오토허브 경매장",,BD
"현대 i30(신형) (11년~15년) 디젤 1.6 VGT  PYL",3551,19어7429,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150239/AT175793007739677_M.jpg,159026,430,"현대 i30(신형) (11년~15년) 디젤 1.6 VGT  PYL",흰색,2014,"오토허브 경매장",,BC
"르노삼성 XM3 (20년~현재) 가솔린 1600cc 1.6 GTe RE",3552,251조6705,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150243/AT17579297211882b_M.jpg,20387,1420,"르노삼성 XM3 (20년~현재) 가솔린 1600cc 1.6 GTe RE",흰색,2022,"오토허브 경매장",,AB
"기아 K8(21년~현재) 3.5 가솔린 4WD 플래티넘",3553,135러8654,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150280/AT1757932694668x9_M.jpg,49739,3055,"기아 K8(21년~현재) 3.5 가솔린 4WD 플래티넘",검정,2022,"오토허브 경매장",,AB
"아우디 NEW A6 35 TDI 프리미엄 C7(14년~현재)",3554,05도0623,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150284/AT1757932634421n9_M.jpg,182196,940,"아우디 NEW A6 35 TDI 프리미엄 C7(14년~현재)",검정,2016,"오토허브 경매장",,BB
"기아 봉고3 1톤 카고(화물)트럭 더블캡 CRDI",3512,83소8101,수동,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150134/AT175791585736189_M.jpg,327535,180,"기아 봉고3 1톤 카고(화물)트럭 더블캡 CRDI",기타,2011,"오토허브 경매장",,CF
"아우디 NEW A6 2.0 TFSI 다이나믹 C7 (11년~14년)",3513,58주9142,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150142/AT175791656766377_M.jpg,203501,110,"아우디 NEW A6 2.0 TFSI 다이나믹 C7 (11년~14년)",흰색,2012,"오토허브 경매장",,BB
"현대 아반떼 MD (10년~13년) M16 GDI 럭셔리",3514,199마4173,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150003/AT175791600075675_M.jpg,115759,220,"현대 아반떼 MD (10년~13년) M16 GDI 럭셔리",기타,2011,"오토허브 경매장",,BC
"폭스바겐 뉴 제타 1.6 TDI 블루모션 6세대 (11년~현재)",3515,37가4095,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509110141/AT175791559118235_M.jpg,186762,180,"폭스바겐 뉴 제타 1.6 TDI 블루모션 6세대 (11년~현재)",흰색,2014,"오토허브 경매장",,AC
"현대 LF 쏘나타 (14년~현재) 2.4 익스클루시브",3516,61우7273,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509120094/AT175791581022654_M.jpg,150149,650,"현대 LF 쏘나타 (14년~현재) 2.4 익스클루시브",흰색,2015,"오토허브 경매장",,BB
"기아 셀토스(19년~현재) 디젤 1600cc 트렌디 2WD",3517,149호1599,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150090/AT1757920247027d8_M.jpg,223692,950,"기아 셀토스(19년~현재) 디젤 1600cc 트렌디 2WD",흰색,2021,"오토허브 경매장",,AC
"벤츠 E-클래스 W213(16년~현재) E200 아방가르드",3518,08다1280,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150215/AT17579255997499m_M.jpg,51228,2210,"벤츠 E-클래스 W213(16년~현재) E200 아방가르드",흰색,2018,"오토허브 경매장",,AB
"기아 셀토스(19년~현재) 디젤 1600cc 트렌디 2WD",3519,156호3561,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150092/AT175792016827991_M.jpg,196591,990,"기아 셀토스(19년~현재) 디젤 1600cc 트렌디 2WD",흰색,2022,"오토허브 경매장",,BB
"기아 K5 3세대(19년~현재 가솔린 2.0 노블레스",3520,194하3337,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150085/AT175792582038159_M.jpg,65377,2240,"기아 K5 3세대(19년~현재 가솔린 2.0 노블레스",검정,2022,"오토허브 경매장",,BC
"기아 셀토스(19년~현재) 가솔린 1600cc 트렌디 4WD",3521,156호2754,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150093/AT1757921184868kd_M.jpg,183449,1210,"기아 셀토스(19년~현재) 가솔린 1600cc 트렌디 4WD",흰색,2022,"오토허브 경매장",,BB
"기아 올 뉴 K3(18년~현재) 가솔린 1600cc 프레스티지",3522,149호1441,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150126/AT1757924187888q3_M.jpg,67906,1190,"기아 올 뉴 K3(18년~현재) 가솔린 1600cc 프레스티지",흰색,2021,"오토허브 경매장",,AB
"현대 스타리아(21년~현재) LPG 2WD L3.5 투어러 9인승 모던",3523,269도3056,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150188/AT1757920051364v8_M.jpg,76454,1800,"현대 스타리아(21년~현재) LPG 2WD L3.5 투어러 9인승 모던",기타,2022,"오토허브 경매장",,AD
"기아 스포티지 4세대 (15년~18년) 디젤 1.7 2WD 노블레스",3524,19누0365,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150067/AT175792453622982_M.jpg,125346,700,"기아 스포티지 4세대 (15년~18년) 디젤 1.7 2WD 노블레스",기타,2016,"오토허브 경매장",,BB
"기아 K5 3세대(19년~현재 가솔린 2.0 노블레스",3525,194하3128,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150086/AT1757921937922l1_M.jpg,41507,2260,"기아 K5 3세대(19년~현재 가솔린 2.0 노블레스",검정,2022,"오토허브 경매장",,AB
"벤츠 E-클래스 W213(16년~현재) E300 AMG Line",3526,262보6040,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509160052/AT175799960003009_M.jpg,49242,2740,"벤츠 E-클래스 W213(16년~현재) E300 AMG Line",기타,2019,"오토허브 경매장",,BB
"현대 올 뉴 투싼 (15년~20년) 디젤 2.0 2WD 스마트",3527,149호1264,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150079/AT175792011681128_M.jpg,104856,1210,"현대 올 뉴 투싼 (15년~20년) 디젤 2.0 2WD 스마트",기타,2020,"오토허브 경매장",,AB
"기아 K7 프리미어(19년~현재) 가솔린 2500cc 2.5 GDI 프레스티지",3528,12도9804,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150278/AT1757932152731n2_M.jpg,155440,1420,"기아 K7 프리미어(19년~현재) 가솔린 2500cc 2.5 GDI 프레스티지",검정,2020,"오토허브 경매장",,AB
"기아 스포티지R (10년~13년) 디젤 2WD TLX 고급형",3529,18저1661,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150197/AT175792211391625_M.jpg,245953,390,"기아 스포티지R (10년~13년) 디젤 2WD TLX 고급형",은색,2013,"오토허브 경매장",,AD
"BMW NEW 5시리즈 520d F10",3530,15로6623,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150291/AT17579327350075e_M.jpg,171044,530,"BMW NEW 5시리즈 520d F10",흰색,2013,"오토허브 경매장",,BB
"기아 K8(21년~현재) 2.5 가솔린 노블레스",3531,156호3815,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509150194/AT1757920380898k0_M.jpg,94485,1910,"기아 K8(21년~현재) 2.5 가솔린 노블레스",기타,2022,"오토허브 경매장",,CB
