"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"기아 쏘렌토 MQ4 SORENTO MQ4 (D) 2.2 트렌디 5인승",0746,160허3893,플라티늄그라파이트,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250903012528.JPG,79591,2300,"SORENTO MQ4 (D) 2.2 트렌디 5인승",79591,2022,"롯데 경매장",KNARF81BGNA122528,"A / F"
"기아 K5 INTERACTIVE K5 (G) 2.0 트렌디",0747,169허1722,인터스텔라그레이,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250903012928.JPG,41321,1400,"INTERACTIVE K5 (G) 2.0 트렌디",41321,2022,"롯데 경매장",KNAG141ABNA184707,"F / F"
"현대 스타리아 STARIA (D) 2.2 카고 5인승 모던",0748,841머8249,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/AS20250905000728.JPG,121386,1580,"STARIA (D) 2.2 카고 5인승 모던",121386,2022,"롯데 경매장",KMFYCX71BNU064207,"F / F"
"현대 그랜저 IG THE NEW GRANDEUR (G) 3.3 익스클루시브",0749,169하8042,"미드나잇 블랙 펄",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250903001928.JPG,97451,1990,"THE NEW GRANDEUR (G) 3.3 익스클루시브",97451,2022,"롯데 경매장",KMHF241GBNA496040,"A / C"
"기아 스포티지 THE BOLD SPORTAGE (D) 2.0 2WD 트렌디",0750,328거1564,"스노우화이트펄 (옵션추가)",디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250905001928.JPG,112337,1150,"THE BOLD SPORTAGE (D) 2.0 2WD 트렌디",112337,2020,"롯데 경매장",KNAPM813BLK750517,"A / F"
"기아 쏘렌토 MQ4 SORENTO MQ4 (D) 2.2 트렌디 5인승",0751,160허3877,플라티늄그라파이트,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250903012728.JPG,76583,2230,"SORENTO MQ4 (D) 2.2 트렌디 5인승",76583,2022,"롯데 경매장",KNARF81BGNA122530,"B / F"
"기아 K5 THE NEW K5 (L) 2.0 럭셔리_렌터카",0752,47하0737,오로라블랙펄,LPG,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250903003328.JPG,88839,980,"THE NEW K5 (L) 2.0 럭셔리_렌터카",88839,2020,"롯데 경매장",KNAGS416BLA380074,"F / D"
"현대 올 뉴 아반떼 ALL NEW AVANTE (L) 1.6 렌터카 SMART",0753,193허7148,폴라화이트,LPG,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250901000628.JPG,77826,1210,"ALL NEW AVANTE (L) 1.6 렌터카 SMART",77826,2023,"롯데 경매장",KMHLL41ABPU416763,"B / F"
"현대 현대 제네시스 G80 G80 (G)3.5T 19&#8243;디쉬타입/기본+ECS 4WD AT",0754,175하2160,"세빌 실버",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250822002228.JPG,21805,4100,"G80 (G)3.5T 19""디쉬타입/기본+ECS 4WD AT",21805,2024,"롯데 경매장",KMTGC41DDRU211203,"A / D"
"기아 K8 K8 (H)1.6 노블레스 2WD AT",0755,177호3232,"오로라 블랙펄",가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202507/KS20250708006228.JPG,22201,3010,"K8 (H)1.6 노블레스 2WD AT",22201,2024,"롯데 경매장",KNAM2411BRA071434,"A / B"
"현대 제네시스 GENESIS G80 (G) 3.3 LUXURY",0756,47호0209,티타늄블랙,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250903003628.JPG,92700,1640,"GENESIS G80 (G) 3.3 LUXURY",92700,2019,"롯데 경매장",KMHGL41DDKU325750,"B / D"
"현대 현대 제네시스 G80 THE ALL NEW GENESIS G80 (G) 2.5T",0757,160호1905,세도나브라운,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250903001428.JPG,89420,3210,"THE ALL NEW GENESIS G80 (G) 2.5T",89420,2021,"롯데 경매장",KMTGB41CDMU069193,"A / B"
"쌍용 티볼리 THE NEW TIVOLI (G) 1.5 V5 2WD AT",0758,222하3210,플래티넘그레이,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202508/KS20250829004228.JPG,42379,1210,"THE NEW TIVOLI (G) 1.5 V5 2WD AT",42379,2024,"롯데 경매장",KPBXH3AT1RP409220,"A / C"
"K3 SMARTSTREAM (G) 1.6 럭셔리",0759,352어4350,스노우화이트펄,가솔린,image,32286,1160,"K3 SMARTSTREAM (G) 1.6 럭셔리",32286,2020,"롯데 경매장",0,
