"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"현대 스타리아 STARIA (D) 2.2 카고 5인승 모던",0729,805보7992,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/AS20250912000428.JPG,40645,2000,"STARIA (D) 2.2 카고 5인승 모던",40645,2022,"롯데 경매장",KMFYCX71BNU061676,"F / F"
"현대 올 뉴 아반떼 ALL NEW AVANTE (H) 1.6 SMART",0730,148호8081,폴라화이트,가솔린하이브리드,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250910007728.JPG,127324,1180,"ALL NEW AVANTE (H) 1.6 SMART",127324,2021,"롯데 경매장",KMHLL41JGMU014375,"B / F"
"현대 스타리아 STARIA (D) 2.2 카고 5인승 모던",0731,822도4411,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/AS20250905000428.JPG,58926,1870,"STARIA (D) 2.2 카고 5인승 모던",58926,2022,"롯데 경매장",KMFYCX71BNU055006,"F / F"
"기아 쏘렌토 MQ4 SORENTO MQ4 (D) 2.2 트렌디 5인승",0732,312보5182,플라티늄그라파이트,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250903012628.JPG,82039,2320,"SORENTO MQ4 (D) 2.2 트렌디 5인승",82039,2022,"롯데 경매장",KNARF81BGNA122529,"A / F"
"현대 스타리아 STARIA (D) 2.2 카고 5인승 모던",0733,841머8257,기타,디젤,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/AS20250912000528.JPG,71505,1810,"STARIA (D) 2.2 카고 5인승 모던",71505,2022,"롯데 경매장",KMFYCX71BNU064308,"F / F"
"현대 올 뉴 아반떼 ALL NEW AVANTE (G) 1.6 MODERN",0734,162하8161,폴라화이트,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250909006528.JPG,139903,1100,"ALL NEW AVANTE (G) 1.6 MODERN",139903,2021,"롯데 경매장",KMHLM41EEMU182771,"F / F"
"기아 NIRO NIRO EV (E) 에어",0735,03하6122,"스노우화이트펄 (옵션추가)",전기,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250902011028.JPG,77089,1950,"NIRO EV (E) 에어",77089,2023,"롯데 경매장",KNACP811FPA011161,"A / F"
"기아 K5 THE NEW K5 (L) 2.0 럭셔리_렌터카",0736,312보5178,흰색,LPG,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/SA20250902001028.JPG,175878,900,"THE NEW K5 (L) 2.0 럭셔리_렌터카",175878,2020,"롯데 경매장",KNAGS416BLA375874,"F / F"
"기아 올 뉴 모닝 ALL NEW MORNING (G) 1.0 럭셔리",0737,43무4039,기타,가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/SA20250903002228.JPG,92772,370,"ALL NEW MORNING (G) 1.0 럭셔리",92772,2013,"롯데 경매장",KNABZ511BDT469502,"A / D"
"현대 올 뉴 아반떼 ALL NEW AVANTE (G) 1.6 INSPIRATION",0738,165호6758,"인텐스 블루 펄",가솔린,https://imgmk.lotteautoauction.net/AU_CAR_IMG_ORG_HP/202509/KS20250908003028.JPG,76830,1560,"ALL NEW AVANTE (G) 1.6 INSPIRATION",76830,2021,"롯데 경매장",KMHLR41EEMU250294,"B / D"
